,precision,recall,f1-score,support
False,0.9937007874015747,0.9960536700868192,0.9948758376034688,1267.0
True,0.9782608695652174,0.9656652360515021,0.9719222462203022,233.0
accuracy,0.9913333333333333,0.9913333333333333,0.9913333333333333,0.9913333333333333
macro avg,0.9859808284833961,0.9808594530691607,0.9833990419118854,1500.0
weighted avg,0.9913024534976606,0.9913333333333333,0.9913103797419501,1500.0
