,precision,recall,f1-score,support
False,1.0,1.0,1.0,1267.0
True,1.0,1.0,1.0,233.0
accuracy,1.0,1.0,1.0,1.0
macro avg,1.0,1.0,1.0,1500.0
weighted avg,1.0,1.0,1.0,1500.0
