,precision,recall,f1-score,support
False,0.9944794952681388,0.9952644041041832,0.9948717948717949,1267.0
True,0.9741379310344828,0.9699570815450643,0.9720430107526882,233.0
accuracy,0.9913333333333333,0.9913333333333333,0.9913333333333333,0.9913333333333333
macro avg,0.9843087131513109,0.9826107428246238,0.9834574028122416,1500.0
weighted avg,0.9913197722905109,0.9913333333333333,0.9913257237386269,1500.0
