,precision,recall,f1-score,support
0,1.0,0.999321688994404,0.9996607294317219,5897.0
1,0.9989501312335958,1.0,0.9994747899159664,3806.0
accuracy,0.9995877563640111,0.9995877563640111,0.9995877563640111,0.9995877563640111
macro avg,0.9994750656167979,0.9996608444972019,0.9995677596738441,9703.0
weighted avg,0.9995881891657286,0.9995877563640111,0.9995877946902022,9703.0
