,precision,recall,f1-score,support
False,1.0,1.0,1.0,1125.0
True,1.0,1.0,1.0,375.0
accuracy,1.0,1.0,1.0,1.0
macro avg,1.0,1.0,1.0,1500.0
weighted avg,1.0,1.0,1.0,1500.0
