Modelo,Accuracy,Precision,Recall,F1-Score
KNeighbors,1.0,1.0,1.0,1.0
SVM,1.0,1.0,1.0,1.0
NeuralNetwork,1.0,1.0,1.0,1.0
RandomForest,0.9926666666666667,0.992643771378131,0.9926666666666667,0.992634118738283
GradientBoosting,0.9913333333333333,0.9913024534976606,0.9913333333333333,0.9913103797419501
DecisionTree,0.9906666666666667,0.9906273252731118,0.9906666666666667,0.9906336174988657
LogisticRegression,0.9886666666666667,0.9886880949487586,0.9886666666666667,0.9886765637200656
AdaBoost,0.988,0.9880483054410899,0.988,0.9880209016891482
NaiveBayes,0.8773333333333333,0.9134106249874278,0.8773333333333333,0.8875012703089306
