,precision,recall,f1-score,support
False,0.9936708860759493,0.9913180741910024,0.9924930857368629,1267.0
True,0.9533898305084746,0.9656652360515021,0.9594882729211086,233.0
accuracy,0.9873333333333333,0.9873333333333333,0.9873333333333333,0.9873333333333333
macro avg,0.9735303582922119,0.9784916551212522,0.9759906793289858,1500.0
weighted avg,0.9874138954444682,0.9873333333333333,0.987366338146149,1500.0
