,precision,recall,f1-score,support
False,0.9929078014184397,0.994475138121547,0.9936908517350158,1267.0
True,0.9696969696969697,0.9613733905579399,0.9655172413793105,233.0
accuracy,0.9893333333333333,0.9893333333333333,0.9893333333333333,0.9893333333333333
macro avg,0.9813023855577048,0.9779242643397434,0.9796040465571632,1500.0
weighted avg,0.9893023855577047,0.9893333333333333,0.9893145509264295,1500.0
